"","taxon","USDAcode","group","nativity","status","growthform","family","leafmass","SLA","LDMC","leaf.lobeness","leaf.PAratio","leafthickness","stom.length.mean","stom.index","Rdarea","Rdmass","Asatarea","Asatmass","Vcmax","Jmax","AQY","LSP","PNUE","WUE","CCarea","CCmass","Nmass","Narea","Nlitter","Nres","Cmass","Carea","Clitter","Solubles","Hemi","Lignin","Cellulose","Ash","Phenolics","Chlarea","Chlmass","Chlab","leafdecomp","dna","SRL","RTD","RDMC","Nroot","Croot","Ligninroot","rootdecomp","LA.gain","leafrate","rootNPP","ss.root","ss.stem","starch.root","starch.stem","nsc.root","nsc.stem","Ringporosity","vessel.frequency","metaxylem.VD","earlywood.VD","latewood.VD","stem.conductance","leaffall50","leaflifespan","emergeduration","leafduration","leafturnover","fallduration","date.chl50.sun","date.chl50.shade","leafout"
"EUEU","Euonymus europaeus","EUEU7","spindle","alien","invasive","shrub; tree","Celastraceae",65.28,175.8584852,0.25964046,6.484,2.057,NA,32.0385,13.108,0.800150816,0.017336511,13.86,0.243739861,NA,NA,0.036,228.8,10.11391962,3.948830276,68.74,1.278,3.126830286,1.612648694,0.75,56.21560904,44.82085297,25.35379171,44.5,54.76666667,NA,12.21107141,NA,91,NA,44.1806774,97.99614396,3.263157895,7.95,1.77,46.74169611,0.23,238,2.248840231,44.46608298,26.3,3.21,NA,0.285714286,NA,6.739179768,8.394278799,8.539683236,0.769886289,15.27886301,9.16416509,"semi-ring",867.0618,5.60148,15.50809287,7.77,NA,268.1582934,150.9423646,42.82990489,181.817008,1.247396816,48.87544741,293,255,98.5343491964102
"EUHA","Euonymus hamiltonianus ssp. sieboldianus","EUHAS","spindle","alien","naturalized","shrub; tree","Celastraceae",44.86,183.8391846,0.304537389,7.937,2.868,NA,33.94925,12.904,0.76024451,0.017151706,13.66,0.251124326,NA,NA,0.038,218.8,10.40527496,2.806793954,50.25,1.287,3.159908456,1.472502972,0.71,57.50191161,45.39361027,20.14304693,44.5,53.1,22.05,9.9952623,15.06666667,92,NA,44.5494293,99.2434371,3.102272727,3.67,0.89,51.26147051,0.26,248,2.279005929,44.26757268,22.6,3.96,NA,0.285714286,NA,7.839830296,8.548761951,10.40443081,0.979031817,18.24426111,9.527793766,"diffuse",865.343,7.88329,18.36753828,17.03,9.08,261.7137893,134.0732754,38.87664056,175.105477,1.353533154,51.72175246,277,282,97.4220319984418
"EUOB","Euonymus obovatus","EUOB8","spindle","native","native","shrub; subshrub","Celastraceae",37.55,189.9716661,0.32217323,6.364,2.104,0.1655,27.61225,4.976,0.717691486,0.014919692,10.2,0.193771099,31.56378407,66.11255277,0.023,228.9,10.63535893,4.438516588,62.55,1.181,2.301887747,1.135676059,0.74,49.29495783,43.65977629,19.80592729,45.6,56.05,19.08333333,12.42569166,15.11666667,83,14.4,39.58500189,99.795117,2.56685568,4.83,0.98,NA,NA,NA,NA,NA,NA,NA,NA,0.285714286,NA,6.494555884,8.057356807,9.214479881,2.725389811,15.70903576,10.78274662,"semi-ring",1531.7378,9.8501,16.2507364,7.98,NA,252.1475026,133.9052217,25.79600972,171.8392301,1.339238507,53.31416102,252,257,97.6837924447759
"EUPH","Euonymus phellomanus","EUPH6","spindle","alien","naturalized","shrub","Celastraceae",29.85,163.0261659,0.364590996,3.951,2.39,NA,31.795,7.137,0.694399104,0.011468949,13.68,0.223019795,NA,NA,0.041,160.5,9.140600673,5.27670836,87.55,1.279,2.388773606,1.741115607,0.51,58.45089041,44.71610982,29.27927106,46.5,43.15,15.73333333,18.9397064,15.3,98,NA,49.28174528,100.8700322,3.103448276,1.28,1.31,44.66134,NA,NA,NA,NA,NA,NA,NA,1.428571429,NA,5.135439326,3.06158063,10.9891275,1.060553087,16.12456683,4.122133716,"diffuse",1068.4932,14.00282,12.96408963,9.55,NA,272.4280305,153.8350854,25.66689366,191.1034689,1.278505759,54.37123402,278,291,108.002775422949
"FRAL","Frangula alnus","FRAL4","buckthorn","alien","invasive","tree; shrub","Rhamnaceae",33,292.0487359,0.280692214,8.353,1.785,0.136416667,23.511,9.194,0.702615922,0.01624754,12.85,0.375282626,72.88123998,153.8855541,0.034,665.6,11.65024586,3.247745849,47.72,1.405,4.048130035,1.720139792,0.98,56.02672119,46.51923731,18.04261763,46.1,37.16666667,36.35566667,9.179241291,18.31666667,72,10.37,46.11097248,120.4866068,2.701492537,7.63,0.71,59.35521365,0.29,265,2.040524191,44.47412131,13.9,6.24,6.860785971,0.6,0.05466973,9.865061597,NA,11.25483181,NA,21.1198934,NA,"semi-ring",127.137,14.72859,24.5535929,16.91,0.25,287.3514379,131.7766893,93.45651511,202.8135412,1.570720629,44.64618872,279,287,105.201936500534
"FRCA","Frangula caroliniana","FRCA13","buckthorn","native","native","tree; shrub","Rhamnaceae",103.25,199.4160611,0.356669547,13.86,2.206,NA,22.393,13.584,0.720338204,0.015627064,10.98,0.218958835,NA,NA,0.031,621.9,10.46610739,3.847530704,58.36,1.418,3.685823877,1.518971872,0.8,58.14993966,46.46618536,20.75152496,46.6,37.93333333,33.6,13.89903071,17.23333333,68,13.23,34.53166949,90.65821018,3.163934426,4.2,0.87,45.55083083,0.22,218,2.484866274,45.13102861,18.2,5.63,4.316879883,0.3,0.099485102,10.39905146,7.939062748,12.94098511,1.246675902,23.34003657,9.185738651,"semi-ring",316.5454,13.4358,25.14962006,25.91,16.3,273.1933335,109.6475123,72.05829466,176.0378463,1.661779558,50.09399034,260,274,121.457920102945
"HAVI","Hamamelis virginiana","HAVI4","ena","native","native","tree; shrub","Hamamelidaceae",181.83,194.6884254,0.423059299,6.246,0.766,0.192833333,31.686,8.619,0.715782059,0.012289532,11.76,0.228953588,32.8747424,103.4120107,0.034,NA,9.693486097,2.872137289,NA,NA,2.208523693,1.420274428,0.58,54.28571757,47.63629672,32.12634453,47,41.7,13.82766667,17.30395204,21.63333333,NA,20.72,38.92944425,80.35937912,2.401360544,0.78,1.97,25.84698937,NA,NA,1.427808244,43.86614794,NA,NA,1.427766562,0.142857143,0.069696602,7.923289797,7.747532833,7.178321438,1.051348835,15.10161124,8.798881667,"diffuse",496.4718807,4.5625,22,23.449,8.68,255.1509524,138.4549863,53.1682973,178.8163831,1.369041781,55.80701212,283,288,109.396282732453
"HYAR","Hydrangea arborescens","HYAR","ena","native","native","shrub","Hydrangeaceae",33.33,211.9487759,0.274760895,11.209,2.676,0.19537037,22.41825,16.645,0.708491741,0.013454606,16.54,0.350563275,38.08479931,87.08288598,0.045,NA,10.18542123,3.811559544,NA,NA,2.875615808,1.377565327,1.3,38.22050928,44.54135177,21.35193025,44.9,38.97766667,30.43333333,12.90516491,17.05566667,NA,7.25,41.04837572,96.26590204,2.356902776,5.65,2.46,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,"semi-ring",430.3233,7.01125,23.17073799,21.43,1.22,265.1140221,119.9096905,89.19578669,178.1136544,1.606662537,43.60401019,268,255,104.732438418094
"LIBE","Lindera benzoin","LIBE3","ena","native","native","tree; shrub","Lauraceae",130.8,255.0771131,0.354416521,10.065,0.925,0.146368055,25.43,NA,0.74268879,0.019387381,14.71,0.375218433,23.21404211,71.81924896,0.041,646.5,10.57271924,4.151817119,64.08,1.487,3.275519672,1.193294284,0.85,54.55011545,47.58727839,17.69481313,50.7,40.29166667,22.26666667,17.3735586,18.91666667,67,10.1,40.52287226,111.859175,2.610655738,0.7,3.03,28.07156415,0.26,216,3.025057123,44.65781398,24.4,4.26,3.188360361,0.428571429,0.040677351,7.060573529,6.072822115,8.035612524,1.397484397,15.09618606,7.470306511,"diffuse",358.5245464,12.386,16,15.554,0.24,264.0070143,119.222741,52.71825283,154.7432491,1.371462016,47.41310818,277,268,107.529905730483
"LOCA","Lonicera canadensis","LOCA7","honeysuckle","native","native","shrub","Caprifoliaceae",38.58,202.0689345,0.368027305,5.458,1.649,NA,29.45775,15.015,0.722333519,0.014472032,9.76,0.19721928,NA,NA,0.029,185.1,10.05628889,5.328671187,63.2,1.272,2.656199724,1.458574422,1.21,37.92703595,45.62077922,25.06804022,46.4,NA,NA,15.43132712,NA,101,NA,46.20881282,103.0635506,NA,4.88,2.42,43.37016131,0.36,236,2.076226669,43.19711531,17.1,6.76,0.874299938,0.307692308,0.021883812,7.224244137,5.365811528,3.05031306,3.538625201,10.2745572,8.90443673,"diffuse",875.8621,7.04358,12.88804632,14.04,NA,265.9442779,164.2444992,39.34920642,197.1354249,1.269118205,54.73615406,285,NA,91.3837756343018
"LOFR","Lonicera fragrantissima","LOFR","honeysuckle","alien","invasive","shrub","Caprifoliaceae",24,179.5599946,0.356512365,5.661,2.727,NA,22.92275,22.56,0.714352258,0.012069565,17.17,0.308304511,NA,NA,0.041,316.6,9.867388174,5.322741964,91.01,1.375,2.503108316,1.525515656,1.01,42.33977081,47.74410736,29.89517352,48.8,48.68333333,18.43333333,16.19024693,18.38333333,82,NA,44.0577601,98.29704804,2.333333333,1.47,1.83,82.23520919,0.29,213,1.839650885,44.21166758,20.6,2.54,1.710785028,1.625,0.115665855,6.333078738,5.638208047,10.83288054,3.995626731,17.16595929,9.633834777,NA,567.3817,15.92219,12.54141542,9.31,0.66,306.866663,135.2089532,128.830627,221.8326596,1.662997705,44.47766861,NA,331,99.2612973334955
"LOHI","Lonicera hirsuta","LOHI","honeysuckle","native","native","liana","Caprifoliaceae",282.98,224.0620797,0.295917442,6.861,0.805,0.171333333,14.76,NA,0.727428015,0.016905117,14.38,0.322201271,45.11614785,89.37096195,0.036,129.3,10.74801323,4.534961389,45.74,1.215,2.573425616,1.025043704,NA,NA,45.1863343,17.6104904,NA,54.85,20.4,11.33080117,15.6,122,6.65,37.31381186,100.092269,2.885893298,NA,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.451438146,5.147994716,10.08070113,2.189431507,19.53213927,7.337426223,"diffuse",832.2672,13.17821,18.25280176,17.21,NA,220.0077418,102.7031607,49.69952665,156.8249985,1.716379695,52.99645727,187,262,96.4710150579554
"LOIN","Lonicera involucrata","LOIN5","honeysuckle","native","native","shrub","Caprifoliaceae",131.43,192.5039415,0.298752292,11.984,1.201,NA,29.61075,NA,NA,NA,14.36,0.27643566,NA,NA,0.039,NA,NA,4.026329939,64.39,1.23,3.126146702,1.618488099,1.15,45.36131569,45.94511815,24.49436724,44.2,NA,NA,14.68397969,NA,125,NA,40.98482765,96.67272884,NA,8.75,2.48,55.24600846,0.37,213,1.969807521,44.43299793,18.5,4.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,"semi-ring",676.523,8.0258,18.76189535,14.21,1.7,259.0570658,125.3823015,62.09159707,179.241311,1.5031519,50.52066853,269,295,97.4025941210597
"LOJA","Lonicera japonica ","LOJA","honeysuckle","alien","invasive","liana","Caprifoliaceae",46.88,220.5289614,0.274894308,8.321,5.503,0.195972222,23.41075,17.12,0.772264847,0.019814952,15.46,0.340937774,45.37436664,107.3056535,0.037,216.7,12.3016089,4.421725449,53.48,1.236,2.929465845,1.296274396,1.01,47.3194362,45.49405741,19.04360138,45.3,50.14433333,20.03333333,16.75290003,17.33333333,100,2.1,46.40703077,122.8423226,2.579895833,2.7,1.82,68.06905176,0.26,253,1.873443195,42.92959155,18.9,5.73,7.360605858,3.833333333,0.023926293,6.501792099,4.464487644,8.742232085,1.309573873,15.24402418,5.774061517,"diffuse",263.875,20.31246,25.15551736,20.68,NA,268.2188643,90.13702497,164.7279302,217.0735653,4.12,59.3528561,275,312,89.5075105196161
"LOKO","Lonicera korolkowii","LOKO2","honeysuckle","alien","naturalized","shrub","Caprifoliaceae",14.4,202.0177259,0.387640312,6.776,2.986,NA,21.5195,NA,NA,NA,17.9,0.361611729,NA,NA,0.05,NA,NA,2.77330734,NA,NA,2.476138147,NA,NA,NA,47.88360961,NA,NA,NA,NA,NA,NA,NA,NA,47.25360986,104.1521823,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289.647347,130.9233956,117.2786246,212.7751885,1.656715863,47.85129225,NA,NA,98.3320685390386
"LOMA","Lonicera maackii","LOMA5","honeysuckle","alien","invasive","shrub","Caprifoliaceae",34.74,201.6074835,0.366880265,5.662,1.934,0.202277778,26.60875,10.372,0.764721294,0.014547716,15.53,0.313096422,61.05655443,127.4278531,0.043,216.7,10.75658941,4.188810625,64.12,1.328,2.617173695,1.49806154,0.99,44.47896415,45.60534178,27.39258455,46,47.497,25.02766667,14.09334904,15.09166667,92,8.08,54.75587455,105.560782,2.061797753,6.06,1.57,59.76836065,0.34,252,1.663364059,42.87467046,16.9,4.61,6.886109964,1,0.162404356,6.062488322,4.713902187,8.787690595,2.552000752,14.85017892,7.265902939,NA,NA,NA,NA,NA,NA,294.2391644,156.2841115,67.31881293,210.3769926,1.374111202,45.01305095,275,300,96.2021625791764
"LOMO","Lonicera morrowii","LOMO2","honeysuckle","alien","invasive","shrub","Caprifoliaceae",42.08,206.8513213,0.330841762,7.963,1.804,NA,18.62275,14.739,0.662474059,0.011330345,14.63,0.302623483,NA,NA,0.038,127.2,9.364720166,5.182960397,64.68,1.298,3.135937357,1.544887915,1.31,41.13231506,46.17317629,23.66329547,46.2,NA,NA,13.66972245,NA,117,NA,58.07033211,116.378516,NA,11.27,1.72,67.37423031,0.33,300,2.054442539,43.2982455,17.8,4.85,10.07570687,NA,0.124459165,5.154635618,5.13391947,4.740869103,2.138707136,9.895504718,7.272626605,"semi-ring",492.028,14.35749,14.22371062,9.08,0.63,290.6684233,150.691943,87.06541247,206.6011449,1.399459455,44.92044461,308,297,98.5030823370881
"LOOB","Lonicera oblongifolia","LOOB","honeysuckle","native","native","shrub","Caprifoliaceae",15.6,187.876519,0.4292233,8.448,3.068,NA,23.625,NA,NA,NA,12.97,0.243675845,NA,NA,0.037,NA,NA,5.341052886,NA,NA,2.495172158,NA,NA,NA,46.98617079,NA,NA,NA,NA,NA,NA,NA,NA,40.00148926,95.27176228,NA,NA,2.58,51.26147051,0.34,246,2.399668722,43.80438198,18.2,9.29,NA,0.5,NA,NA,NA,NA,NA,NA,NA,"semi-ring",537.6677,9.67823,14.99088989,9.82,NA,257.1219717,122.8896913,39.40484263,155.7986966,1.320764536,46.2383746,281,273,110.27929604201
"LOPE","Lonicera periclymenum","LOPE4","honeysuckle","alien","invasive","liana","Caprifoliaceae",68.42,214.2498622,0.256475861,8.779,1.787,NA,35.2545,16.362,NA,NA,19.42,0.416073232,NA,NA,0.047,NA,NA,4.411811556,NA,NA,3.169820593,NA,1.07,47.93116936,47.02954004,NA,45.6,64.83333333,12.36666667,10.67392635,15.03333333,NA,6.48,52.78488828,111.8675174,2.169642857,18.35,5.94,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"diffuse",453.4071,25.95027,24.86989665,21.24,NA,283.1028979,144.020663,104.7794651,215.4927992,1.667175808,50.44215943,271,307,85.2526182310434
"LORE","Lonicera reticulata","LORE","honeysuckle","native","native","liana; shrub","Caprifoliaceae",127.31,194.7346761,0.279447361,7.633,2.253,0.218981482,30.39675,22.918,0.83615344,0.019158183,16.27,0.316833318,51.34992905,91.27381856,0.043,196.3,11.0979098,4.55040005,47.01,1.227,2.633840132,1.20051337,0.69,54.34032365,44.66941577,20.83242141,44.1,48.511,23.11133333,12.58045027,14.6,122,5.26,60.4275055,116.0177591,4,8.77,2.1,48.88264188,0.41,267,1.932100398,44.10214743,16.1,5.85,NA,0.75,NA,6.213720922,4.81277815,8.969592734,1.549599203,15.18331366,6.362377353,NA,NA,NA,NA,NA,NA,246.4077305,117.0856001,58.72060548,191.0774713,1.691606405,51.33610427,297,269,90.5607129050859
"LORU","Lonicera ruprechtiana","LORU3","honeysuckle","alien","naturalized","shrub","Caprifoliaceae",30,186.328758,0.26187283,7.913,2.946,NA,21.1715,17.267,NA,NA,17.76,0.330919874,NA,NA,0.048,NA,NA,4.057099348,NA,NA,2.996401106,NA,0.86,52.21737644,45.53931456,NA,44.9,NA,NA,13.61634049,NA,NA,NA,53.64530937,108.319525,NA,8.32,1.67,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"semi-ring",526.9177,17.02071,16.15920127,9.02,4.21,272.8630763,143.8093923,77.02264872,195.9570851,1.396497715,47.11275493,278,286,92.6419850566185
"LOSE","Lonicera sempervirens","LOSE","honeysuckle","native","native","liana","Caprifoliaceae",105.17,226.4425515,0.267858674,6.4,1.48,0.2282,26.41275,10.951,0.766121233,0.019919916,16.68,0.377706176,70.09783019,138.5325023,0.044,145.7,12.43228729,4.766125719,42.39,1.203,3.113490905,1.344092913,0.86,53.13263309,44.55847823,18.08440268,45.1,50.16666667,27.13333333,9.171584568,18.46666667,103,4.75,56.88749423,138.2228307,3.014814815,10.78,4.12,52.61247932,0.32,239,2.071177338,43.40462624,14.8,7.37,2.192547027,1.625,0.068967142,9.217380552,6.110213394,10.29772512,2.885330059,19.51510567,8.995543453,"semi-ring",340.0923,19.5247,25.3521463,21.98,2.47,289.6473467,127.7228687,110.3282954,214.8109379,1.709920799,48.95767994,304,NA,86.8879292859832
"LOST","Lonicera standishii","LOST2","honeysuckle","alien","invasive","shrub","Caprifoliaceae",14.73,143.9525233,0.398457967,7.613,7.285,NA,22.388,21.568,0.752263249,0.012346773,15.65,0.225285699,NA,NA,0.042,234.8,9.102180188,5.260025853,114.52,1.365,2.423698612,1.828706683,0.96,42.96806055,47.64740171,37.06828926,47.8,43.06666667,22.38333333,13.8120225,21.33333333,84,NA,44.6723466,94.78268805,1.876447876,1.66,1.95,59.64684143,0.38,240,1.9019347,44.10214743,15.3,5.07,NA,0.8,NA,6.928586891,5.670070179,11.04332631,2.997836415,17.9719132,8.667906592,"diffuse",772.1423,8.74123,11.82469226,10.15,NA,293.09121,144.0096362,73.65287802,206.5980524,1.456257071,50.96616314,299,312,98.7874821361031
